Product_ID,Ingredient_ID,Common_Ingredient_Name,Ingredient_Order,Ingredient_Name_Listed,Ingredient_Notes
38,110,Glyceryl Stearate,5,Glyceryl Stearate SE,na
38,107,Glycerin,6,Glycerin,na
38,193,Propylene Glycol,7,Propylene Glycol,na
38,50,Cetearyl Alcohol,8,Cetearyl Alcohol,na
38,215,Sorbitan Stearate,9,Sorbitan Stearate,na
38,185,Polysorbate 60,10,Polysorbate 60,na
38,74,Cyclopentasiloxane,11,Cyclopentasiloxane,na
38,153,Menthyl Lactate,12,Menthyl Lactate,na
38,246,Vitamin B5,13,Panthenol,na
38,83,Dimethicone/Vinyltrimethylsiloxysilicate Crosspolymer,14,Dimethicone/Vinyltrimethylsiloxysilicate Crosspolymer,na
38,150,Menthol,15,Menthol,na
38,116,Hamamelis Virginiana Extract,16,Hamamelis Virginiana Extract,na
38,250,Vitamin E ,17,Tocopheryl Acetate,na
38,176,Phenethyl Alcohol,18,Phenethyl Alcohol,na
38,111,Glycine Soja Oil,19,Glycine Soja Oil,na
38,190,PPG-2-Methyl Ether,20,PPG-2-Methyl Ether,na
38,28,BHA,21,BHA,Butylated Hydroxyanisole
38,78,Denatured Alcohol,22,Alcohol denat.,na
38,156,Methylisothiazolinone,23,Methylisothiazolinone,na
38,75,Daucus Carota Sativa Root Extract,24,Daucus Carota Sativa Root Extract,na
38,27,Beta-Carotene,25,Beta-Carotene,na
38,250,Vitamin E ,26,Tocopherol,na
38,35,C.I. 47005,27,C.I. 47005,na
39,252,Water,1,Deionized water (aqua),na
39,223,Stearic Acid,2,Stearic Acid,na
39,166,PEG 2 Stearate,3,PEG 2 Stearate,na
39,193,Propylene Glycol,4,Propylene Glycol,na
39,130,Isopropyl Myristate,5,Isopropyl Myristate,na
39,81,Dimethicone,6,Dimethicone,na
39,137,Lanolin Oil,7,Lanolin Oil,Derived from Lanolin
39,158,Mineral Oil,8,Mineral Oil,na
39,203,Shea Butter,9,Butyrospermum Parkii (Shea) Butter,na
39,240,Triethanolamine,10,Triethanolamine,aka TEA
39,7,Allantoin,11,Allantoin,na
39,157,Methylparaben,12,Methylparaben,na
39,194,Propylparaben,13,Propylparaben,Preservative
39,103,Fragrance,14,Fragrance,na
40,184,Polygonum Aviculare Water Extract,1,Polygonum Aviculare Water Extract,na
40,50,Cetearyl Alcohol,2,Cetearyl Alcohol,na
40,208,Sodium Cetearyl Sulfate,3,Sodium Cetearyl Sulfate,na
40,209,Sodium Lauryl Sulfate,4,Sodium Lauryl Sulfate,na
40,107,Glycerin,5,Glycerin,na
40,130,Isopropyl Myristate,6,Isopropyl Myristate,na
40,193,Propylene Glycol,7,Propylene Glycol,na
40,157,Methylparaben,8,Methylparaben,na
40,194,Propylparaben,9,Propylparaben,Preservative
41,174,Petrolatum,1,Petrolatum,na
41,135,Lanolin,2,Lanolin,na
41,1,8-Hydroxy Quinoline,3,8-Hydroxy Quinoline 0.3%,na
42,8,Aloe Vera,1,Aloe barbadensis (Organic Aloe Vera) Juice,na
42,66,Coconut Oil,2,Cocs nucifera (Coconut) Oil,na
42,92,Emulsifying Wax,3,Emulsifying Wax NF,NF refers to a specific specification for cosmetics
42,223,Stearic Acid,4,Palm Stearic Acid,na
42,256,Witch Hazel,5,Hamamelis virginiana (Witch Hazel),na
42,53,Cetyl Alcohol,6,Cetyl Alcohol,na
42,177,Phenoxyethanol,7,Phenoxyethanol,na
42,257,Xanthan Gum,8,Xanthan Gum,Natural Thickener
42,147,Mannan,9,Mannan,na
42,91,EDTA,10,Tetrasodium EDTA,na
42,235,Tea Tree Oil,11,Tea Tree Oil,na
42,61,Citric Acid,12,Citric Acid,na
43,162,Olive Oil,1,Pure Olive Oil,na
43,203,Shea Butter,2,Shea Butter,na
43,252,Water,3,Distilled Water,na
43,39,Calendula Extract,4,Calendula,na
43,258,Yarrow,5,Yarrow,Herb
43,29,Bisabolol,6,Chamomile,na
43,68,Comfrey Extract,7,Comfrey,Natural Allantoin source
43,223,Stearic Acid,8,Stearic Acid,na
43,18,Beeswax,9,Beeswax,na
43,260,Zinc Oxide,10,Zinc Oxide,na
43,250,Vitamin E ,11,Vitamin E Oil,na
43,17,Basil Oil,12,Basil Oil,na
43,63,Clove Oil,13,Clove Oil,na
43,139,Lavender Oil,14,Lavender Oil,na
43,172,Peppermint Oil,15,Peppermint Oil,na
43,235,Tea Tree Oil,16,Tea Tree Oil,na
44,8,Aloe Vera,1,Aloe Barbadensis Leaf Juice,na
44,18,Beeswax,2,Beeswax,na
44,42,Caprylic/Capric Triglyceride,3,Caprylic/Capric Triglyceride,na
44,45,Carnauba Wax,4,Organic Carnauba Wax,na
44,7,Allantoin,5,Allantoin,Guessing at ingredient order (listed seperately as active ingredient)
44,250,Vitamin E ,6,Vitamin E (Tocopheryl Acetate),na
44,237,Tribehenin,7,Tribehenin,na
45,252,Water,1,Water,na
45,234,Tapioca Starch,2,Tapioca Starch,na
45,192,Propanediol,3,"Propanediol (Corn Derived) ""Zemea""",na
45,177,Phenoxyethanol,4,Phenoxyethanol,na
45,44,Carbomer,5,Carbomer,na
45,98,Ethylhexylglycerin,6,Ethylhexylglycerin,na
45,12,Aminomethyl Propanol,7,Aminomethyl Propanol,na
45,185,Polysorbate 60,8,Polysorbate-60 (Plant Derived),na
45,257,Xanthan Gum,9,Xanthan Gum,Natural Thickener
45,103,Fragrance,10,Fragrance,na
45,8,Aloe Vera,11,Aloe Barbadensis (Aloe Vera) Leaf Juice,na
45,64,Coco-Caprylate/Caprate,12,Coco-Caprylate/Caprate,na
45,159,Oat Extract,13,Avena Sativa (Oat) Kernel Extract,na
46,252,Water,1,Water,na
46,203,Shea Butter,2,Butyrospermum Parkii (Shea) Butter,na
46,42,Caprylic/Capric Triglyceride,3,Caprylic/Capric Triglyceride,na
46,169,PEG-30 Glyceryl Stearate,4,PEG-30 Glyceryl Stearate,na
46,50,Cetearyl Alcohol,5,Cetearyl Alcohol,na
46,179,Polyacrylamide,6,Polyacrylamide,na
46,129,Isoparaffin,7,C13-C14 Isoparaffin,na
46,103,Fragrance,8,Parfum (Fragrance),na
46,124,Imidazolidinyl Urea,9,Imidazolidinyl Urea,related to Diazolidinyl urea
46,138,Laureth-7,10,Laureth-7,na
46,177,Phenoxyethanol,11,Phenoxyethanol,na
46,208,Sodium Cetearyl Sulfate,12,Sodium Cetearyl Sulfate,na
46,209,Sodium Lauryl Sulfate,13,Sodium Lauryl Sulfate,na
46,111,Glycine Soja Oil,14,Glycine Soja Oil,na
46,250,Vitamin E ,15,Tocopherol,na
46,157,Methylparaben,16,Methylparaben,na
46,99,Ethylparaben,17,Ethylparaben,na
46,194,Propylparaben,18,Propylparaben,Preservative
46,33,Butylparaben,19,Butylparaben,na
46,126,Isobutylparaben,20,Isobutylparaben,na
46,87,Disodium Phosphate,21,Disodium Phosphate,na
46,86,Dipotassium Phosphate,22,Dipotassium Phosphate,na
46,142,Limonene,23,Limonene,na
46,26,Benzyl Benzoate,24,Benzyl Benzoate,na
46,143,Linalool,25,Linalool,Fragrance
46,34,Butylphenyl Methylpropional,26,Butylphenyl Methylpropional,na
46,60,Citral,27,Citral,na
46,71,Coumarin,28,Coumarin,na
46,104,Geraniol,29,Geraniol,Fragrance
46,62,Citronellol,31,Citronellol,na
47,59,Cinnamic Acid,1,Cinnamic Acid,na
47,227,Steroid Fraction Stigmasterol,2,Steroid Fraction Stigmasterol,na
47,250,Vitamin E ,3,tocopherols and tocotrienols (triglycerides),na
47,203,Shea Butter,4,Shea Butter,na
48,158,Mineral Oil,1,Mineral Oil,na
48,219,Stearamide MEA,2,Stearamide MEA,na
48,221,Stearamidopropyl Dimethylamine,3,Stearamidopropyl Dimethylamine,na
48,186,Polysorbate-80,4,Polysorbate-80,na
48,165,Paraffin,5,Paraffin,na
48,8,Aloe Vera,6,Aloe Barbadensis Leaf Juice,na
48,194,Propylparaben,7,Propylparaben,Preservative
49,81,Dimethicone,1,Dimethicone,na
49,84,Dimethiconol,2,Dimethiconol,na
49,73,Cyclomethicone,3,Cyclomethicone,na
49,250,Vitamin E ,4,Tocopheryl Acetate (Vitamin E),na
50,174,Petrolatum,1,Petrolatum,na
50,73,Cyclomethicone,2,Cyclomethicone,na
50,18,Beeswax,3,Bee's Wax,na
50,235,Tea Tree Oil,4,Tea Tree Oil,na
51,260,Zinc Oxide,1,Zinc Oxide (40%),Guess at order; listed separately as active ingredient
51,28,BHA,2,BHA,Butylated Hydroxyanisole
51,67,Cod Liver Oil,3,Cod Liver Oil,Natural source of Vitamin A&D
51,103,Fragrance,4,Fragrance,na
51,135,Lanolin,5,Lanolin,na
51,157,Methylparaben,6,Methylparaben,na
51,174,Petrolatum,7,Petrolatum,na
51,233,Talc,8,Talc,na
51,252,Water,9,Water,na
52,135,Lanolin,1,Lanolin (28%),Guess at order; listed separately as active ingredient
52,260,Zinc Oxide,2,Zinc Oxide (15%),Guess at order; listed separately as active ingredient
52,22,Benzethonium Chloride,3,Benzethonium Chloride,na
52,67,Cod Liver Oil,4,Cod Liver Oil,Natural source of Vitamin A&D
52,139,Lavender Oil,5,English Lavender Oil,na
52,158,Mineral Oil,6,Mineral Oil,na
52,174,Petrolatum,7,Petrolatum,na
52,233,Talc,8,Talc,na
52,244,Vanillin,9,Vanillin,na
52,213,Sorbitan Monostearate,10,Sorbitan Monostearate,na
52,6,Alcohol,11,Alcohol,Not clear if Ethanol/Methanol (denatured alcohol)/etc
52,252,Water,12,Water,na
53,174,Petrolatum,1,Petrolatum,na
53,261,Zinc Stearate ,2,Zinc Stearate ,Anti-fungal
53,205,Silicone ,3,Silicone ,na
53,193,Propylene Glycol,4,Propylene Glycol,na
53,79,Diazolidinyl Urea,5,Diazolidinyl Urea,na
53,157,Methylparaben,6,Methyl Paraben,na
53,194,Propylparaben,7,Propyl Paraben,Preservative
54,218,Soybean Oil,1,Organic Soy Oil,na
54,18,Beeswax,2,Bee's Wax,na
54,250,Vitamin E ,3,Natural Vitamin E Oil,na
54,197,Rosemary Oil,4,Organic Rosemary Oil,na
55,122,Hydrogenated Vegetable Oil,1,Hydrogenated Vegetable Oil,na
55,53,Cetyl Alcohol,2,Cetyl Alcohol,na
55,103,Fragrance,3,Fragrance,na
56,252,Water,1,Water,na
56,220,Stearamidoethyl Ethanolamine,2,Stearamidoethyl Ethanolamine,na
56,224,Stearoylethyl Dihydroxyethylamine,3,Stearoylethyl Dihydroxyethylamine,na
56,88,Distearoylethyl Hydroxyethylamine,4,Distearoylethyl Hydroxyethylamine,na
56,96,Ethoxydiglycol,5,Ethoxydiglycol,na
56,222,Steareth-10,6,Steareth-10,na
56,4,Acetic Acid,7,Acetic Acid,PH Control
57,252,Water,1,Water,na
57,10,Aluminium Chlorohydrate,2,Aluminum Chlorohydrate,na
57,158,Mineral Oil,3,Mineral Oil,na
57,193,Propylene Glycol,4,Propylene Glycol,na
57,110,Glyceryl Stearate,5,Glyceryl Stearate,na
57,167,PEG-100 Stearate,6,PEG-100 Stearate,na
57,50,Cetearyl Alcohol,7,Cetearyl Alcohol,na
57,174,Petrolatum,8,Petrolatum,na
57,53,Cetyl Alcohol,9,Cetyl Alcohol,na
57,170,PEG-40 Stearate,10,PEG-40 Stearate,na
57,135,Lanolin,11,Lanolin,na
57,215,Sorbitan Stearate,12,Sorbitan Stearate,na
57,79,Diazolidinyl Urea,13,Diazolidinyl Urea,na
57,259,Zinc Acetate,14,Zinc Acetate 0.2%,Listed seperately as active ingredient; guessing at order
57,157,Methylparaben,15,Methyl Paraben,na
58,252,Water,1,Aqua,na
58,10,Aluminium Chlorohydrate,2,Aluminium Chlorohydrate,na
58,158,Mineral Oil,3,Paraffinum Liquidum,na
58,110,Glyceryl Stearate,4,Glyceryl Stearate,na
58,167,PEG-100 Stearate,5,PEG-100 Stearate,na
58,193,Propylene Glycol,6,Propylene Glycol,na
58,174,Petrolatum,7,Petrolatum,na
58,50,Cetearyl Alcohol,8,Cetearyl Alcohol,na
58,53,Cetyl Alcohol,9,Cetyl Alcohol,na
58,170,PEG-40 Stearate,10,PEG-40 Stearate,na
58,135,Lanolin,11,Lanolin,na
58,215,Sorbitan Stearate,12,Sorbitan Stearate,na
58,79,Diazolidinyl Urea,13,Diazolidinyl Urea,na
58,157,Methylparaben,14,Methyl Paraben,na
58,194,Propylparaben,15,Propyl Paraben,Preservative
59,252,Water,1,Water,na
59,80,Diisoocytl Adipate,2,Diisoocytl Adipate,na
59,5,Acrylate Terpolymer,3,Acrylate Terpolymer,na
59,66,Coconut Oil,4,Cocos Nucifera (Coconut) Oil,na
59,189,PPG-15 Stearyl Ether,5,PPG-15 Stearyl Ether,na
59,107,Glycerin,6,Glycerin,na
59,131,Isopropyl Palmitate,7,Isopropyl Palmitate,na
59,158,Mineral Oil,8,White Mineral Oil (Paraffinum Liquidum),na
59,242,Trimethylsiloxysilicate,9,Trimethylsiloxysilicate,na
59,165,Paraffin,10,Paraffin,na
59,81,Dimethicone,11,Dimethicone,na
59,177,Phenoxyethanol,12,Phenoxyethanol,na
59,23,Benzoic Acid,13,Benzoic Acid,na
59,77,Dehydroacetic Acid,14,Dehydroacetic Acid,na
59,146,Magnesium Sulfate,15,Magnesium Sulfate,na
60,252,Water,1,Water,na
60,110,Glyceryl Stearate,2,Glyceryl Stearate,na
60,81,Dimethicone,3,Dimethicone,na
60,158,Mineral Oil,4,Mineral Oil,na
